,i_type,incident_with,date,p_type,details,incident_effect,injury,trip_purpose,regular_cyclist,helemt,intoxicated,road_conditions,sightlines,card_on_roadside,riding_on,bike_lights,terrain,direction,turning,age,birthmonth,sex,pk,longitude,latitude,datetime,seconds
233,Near collision with moving object or vehicle,"Vehicle, angle",2014-12-03T08:40:00,nearmiss,Vehicle turning right without looking into bike lane - near miss.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,FB,Flat,W,Heading straight,1976.0,,F,347,-123.3592558,48.42576905,2014-12-03 08:40:00,1417621200
234,Near collision with stationary object or vehicle,Pedestrian,2014-11-26T07:00:00,nearmiss,"I was turning from a slow street to a busy street and a person waiting at the crosswalk was obscured from my view by a telephone pole. When the light turned green I looked left, then right and started my turn at which point I could see her just about to step out in front of me. She had a walk signal",,No injury,Commute,Y,Y,N,Wet,View obstructed,N,"Busy street, no bike facilities",FB,Downhill,N,Turning right,1969.0,,M,350,-123.34429979999999,48.44120188,2014-11-26 07:00:00,1417010400
235,Near collision with moving object or vehicle,"Vehicle, side",2014-07-12T14:30:00,nearmiss,"We were cycling our tandem along Wharf street toward the Johnson street bridge, and as we started to pass Fort street, a family van came up on our left, zoomed past us,  and turned right up Fort street, nearly hitting us.",,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1959.0,5.0,M,359,-123.36966809999998,48.42504997,2014-07-12 14:30:00,1405197000
236,Near collision with stationary object or vehicle,"Vehicle, open door",2014-12-21T04:30:00,nearmiss,Car door opened right in front of me with busy traffic. There was no room to get out of the way so I slammed on my braked and stopped inside the opened door.,,No injury,Social reason,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",FB,Flat,S,Heading straight,1985.0,4.0,M,363,-123.33342079999998,48.44276412,2014-12-21 04:30:00,1419161400
237,Near collision with moving object or vehicle,"Vehicle, side",2015-01-12T08:15:00,nearmiss,"ignorant driver at a stop at this silly 5-way intersection drove in front of me, having seen me, then waved.  Many incidents here.  Bad intersection.  Many drivers either do not stop to cross Musgrave or don't look or don't know that musgave is a through street.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,N,Heading straight,,,,381,-123.3082938,48.43770713,2015-01-12 08:15:00,1421075700
238,Near collision with moving object or vehicle,"Vehicle, head on",2014-12-09T16:30:00,nearmiss,"driver accelerated at the merger and swerved head on into my lane while trying to pass a car even though i was already beside the parked vehicle.  narrow street, ignorant driver, very hazardous.  have had other similar incidents at this weird merger.",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",FB,Downhill,S,Heading straight,,,,382,-123.30299380000001,48.44797718,2014-12-09 16:30:00,1418167800
239,Near collision with moving object or vehicle,"Vehicle, head on",2015-01-12T17:00:00,nearmiss,"poor signage, buses and cars coming downhill often pose hazard at this silly merger/intersection.  poor design, very hazardous.",,No injury,Commute,,,,Dry,No obstructions,N,"Quiet street, no bike facilities",FB,Flat,SE,Heading straight,,,,383,-123.30433490000001,48.44684565,2015-01-12 17:00:00,1421107200
240,Near collision with moving object or vehicle,"Vehicle, side",2015-01-06T15:55:00,nearmiss,Biking NW on Old Island Hwy up the hill.  Approximately 20m before the Thrifty store a Grey Van hit me with his passenger side mirror against my left arm.  This knocked me sideways but I was able to stay upright on my bike since the Van was only going 30km or so.  Driver did not stop.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Uphill,NW,Heading straight,1979.0,4.0,M,384,-123.4682178,48.44364309,2015-01-06 15:55:00,1420584900
241,Near collision with moving object or vehicle,"Vehicle, rear end",2014-07-02T09:00:00,nearmiss,"A vehicle backed out onto the road way out of a driveway, and did not provide enough distance between the approaching cyclist (myself) and her vehicle. I had to rapid disembark my bicycle, throwing it onto the curb and jumping over my handlebars to avoid making contact with her vehicle.",,No injury,Commute,Y,Y,N,Dry,View obstructed,I don't know,"Quiet street, no bike facilities",NL,Uphill,S,Heading straight,1986.0,11.0,F,387,-123.3498895,48.43054604,2014-07-02 09:00:00,1404313200
242,Near collision with moving object or vehicle,"Vehicle, side",2015-01-14T09:30:00,nearmiss,"Cyclist stationary at red light in right hand side of lane (wheel well rut in road). Vehicle approached with wheel approx 1ft distance from cyclist's foot. Driver saw cyclist, made aggressive gesture in response to cyclist's wave. Driver proceeded to accelerate aggressively through intersection.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,W,,1986.0,11.0,F,388,-123.35605320000002,48.42736736,2015-01-14 09:30:00,1421253000
243,Near collision with moving object or vehicle,"Vehicle, angle",2015-01-06T15:10:00,nearmiss,Truck trying to beat slow traffic tried to scoot up side of road and almost hit me. I was hit by a car back in May on the same road same type of incident.. broke my collar bone lots of bruises and scrapes..bike helmet was toast,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,SE,Heading straight,1957.0,4.0,M,389,-123.404274,48.43882462,2015-01-06 15:10:00,1420582200
244,Near collision with moving object or vehicle,"Vehicle, side",2015-01-19T08:25:00,nearmiss,"Pedestrian at cross walk, stepping onto street. Car going north bound did not see pedestrian and did not slow down. I (bicyclist) assumed car would stop for pedestrian and moved into the intersection, riding along cross walk. Car and Bike stopped in middle of accident. No collision.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,E,Heading straight,1983.0,5.0,M,392,-123.32073929999999,48.46357401,2015-01-19 08:25:00,1421681100
245,Near collision with moving object or vehicle,"Vehicle, rear end",2015-01-19T08:30:00,nearmiss,"I was biking along the road where parked cars might be. Someone backed out of his driveway onto the road. Without slowing down, he continued to back up towards me in the parking lane. I jumped off my bike and jumped towards traffic, dragging my bike with me. Broad daylight, no rain. He never saw me.",,No injury,Commute,,,,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,I don't know,Heading straight,,,,394,-123.33660719999999,48.43614117,2015-01-19 08:30:00,1421681400
246,Near collision with moving object or vehicle,"Vehicle, side",2015-01-21T08:50:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,397,-123.36571459999999,48.41849235,2015-01-21 08:50:00,1421855400
247,Near collision with moving object or vehicle,"Vehicle, head on",2014-11-18T08:55:00,nearmiss,"Several cars were in turning lane (my light) - one in front made it through before I entered the intersection. The one behind began the turn before waiting for the previous car fully cleared his field of vision, nearly hit me.",,No injury,Commute,,,,,,,,,,,,,,,398,-123.36557509999999,48.41849947,2014-11-18 08:55:00,1416326100
248,Near collision with moving object or vehicle,"Vehicle, side",2014-11-11T09:00:00,nearmiss,Car nearly sideswiped me with a close pass so he could get to a red light faster.,,No injury,Commute,,,,,,,,,,,,,,,399,-123.3673722,48.41842115,2014-11-11 09:00:00,1415721600
249,Near collision with moving object or vehicle,"Vehicle, side",2014-12-16T16:45:00,nearmiss,"Car slowed down for a stop sign, but failed to come to a complete stop and drifted through the intersection.",,No injury,Commute,Y,Y,N,Wet,No obstructions,N,Mixed use trail,FB,Downhill,W,Heading straight,1971.0,9.0,M,402,-123.33080290000001,48.45049634,2014-12-16 16:45:00,1418773500
250,Near collision with moving object or vehicle,"Vehicle, side",2015-01-26T17:40:00,nearmiss,"Vehicle passed me very closely, almost hitting my mirror.",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",FB,Flat,E,Heading straight,1982.0,8.0,M,403,-123.3319831,48.41749546,2015-01-26 17:40:00,1422319200
251,Near collision with moving object or vehicle,"Vehicle, angle",2015-01-26T19:00:00,nearmiss,I had an altercation biking on the HOV lane (I was confused by the painted arrows of the firetruck HOV lane) and a car leaving the shell gas station nearly hit me and yelled profanities. It wasn't pleasant and it would be nice if it was a little clearer what to do there.,,"Injury, no treatment",Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",FB,Uphill,E,Heading straight,1984.0,6.0,F,404,-123.3443534,48.42434868,2015-01-26 19:00:00,1422324000
252,Near collision with stationary object or vehicle,"Vehicle, open door",2015-01-27T16:40:00,nearmiss,,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,E,Heading straight,1975.0,4.0,F,405,-123.3075857,48.45627374,2015-01-27 16:40:00,1422402000
253,Near collision with moving object or vehicle,"Vehicle, side",2015-01-27T22:05:00,nearmiss,"Turning right, taxi sped up and passed me, and then swerved quickly right, forcing me to brake.",,No injury,Social reason,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,E,Turning right,1982.0,8.0,M,407,-123.37039229999999,48.42791555,2015-01-27 22:05:00,1422421500
254,Near collision with moving object or vehicle,"Vehicle, head on",2015-02-03T17:45:00,nearmiss,,,No injury,Commute,Y,Y,N,Dry,Glare or reflection,N,Mixed use trail,FB,Flat,E,Heading straight,,,F,417,-123.389951,48.45822381,2015-02-03 17:45:00,1423010700
255,Near collision with moving object or vehicle,"Vehicle, side",2014-09-04T18:45:00,nearmiss,After light had changed to green I proceeded through  intersection and had to lock up brakes as SUV went through red light and then pointed to the sunset as the sun had apparently obscured their view of the traffic signal.,,No injury,Personal business,N,Y,N,Dry,Glare or reflection,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1958.0,2.0,M,418,-123.34535120000001,48.42680849,2014-09-04 18:45:00,1409877900
256,Near collision with moving object or vehicle,"Vehicle, side",2015-02-11T16:00:00,nearmiss,"Vehicle passed very close to me, near enough that I could touch the vehicle.",,No injury,Social reason,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",FB,Flat,W,Heading straight,1982.0,8.0,M,419,-123.33290579999999,48.41719639,2015-02-11 16:00:00,1423695600
257,Near collision with moving object or vehicle,"Vehicle, side",2013-11-01T17:15:00,nearmiss,"I was cycling NW on Craigflower near the junction with Helmken Road when a driver suddenly moved across the bike lane into the right hand turn lane without signaling, shoulder checking or mirror checking. I had to brake hard and pull as far to the right as I could without running into the curb. ",,No injury,Commute,Y,Y,N,Wet,Glare or reflection,N,Busy street bike lane,FB,Downhill,NW,Heading straight,1977.0,8.0,F,422,-123.4404087,48.45581711,2013-11-01 17:15:00,1383347700
258,Near collision with stationary object or vehicle,Animal,2015-02-03T22:10:00,nearmiss,A racoon ran out from the north side of the goose to the south side (towards highway) in front of me. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,F,Flat,I don't know,Heading straight,1984.0,12.0,F,423,-123.41793179999999,48.4649257,2015-02-03 22:10:00,1423026600
259,Near collision with moving object or vehicle,"Vehicle, side",2015-02-17T08:45:00,nearmiss,"As we were biking past the View Royal Elementary school, there was a car at the sidewalk stopped (with no turn signals on), as we went to pass it (and the crosswalk) the van started to turn into the elementary school parking lot. We had to stop suddenly.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Quiet street bike lane,B,Downhill,NE,Heading straight,1984.0,12.0,F,424,-123.43714709999999,48.45758702,2015-02-17 08:45:00,1424187900
260,Near collision with moving object or vehicle,"Vehicle, side",2015-02-17T16:30:00,nearmiss,Almost every time I cycle past here (on the goose) I have some sort of near miss with the vehicles in the lane merging on the highway.  No one seems to look for bikers/pedestrians here.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,F,Flat,NW,Heading straight,1984.0,12.0,F,425,-123.4048051,48.4599385,2015-02-17 16:30:00,1424215800
261,Near collision with moving object or vehicle,"Vehicle, side",2015-02-18T16:00:00,nearmiss,"Bus was speeding along Richardson, it and I were going to get to a parked car at the same time, so I pulled out and it passed me very closely.",,No injury,Personal business,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",NL,Flat,E,Heading straight,1982.0,8.0,M,426,-123.3420038,48.41621372,2015-02-18 16:00:00,1424300400
262,Near collision with moving object or vehicle,"Vehicle, side",2015-02-18T14:50:00,nearmiss,"Vehicle turning right across the bike lane, nearly didn't stop.",,No injury,Personal business,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Downhill,W,Heading straight,1982.0,8.0,M,427,-123.4027719,48.44232642,2015-02-18 14:50:00,1424296200
263,Near collision with moving object or vehicle,"Vehicle, angle",2015-02-18T17:05:00,nearmiss,A vehicle was heading east on Haultain St between Cook St and Fernwood Rd. The vehicle passed me just before Cedar Hill Rd and almost t-boned a vehicle travelling south on Cedar Hill as it crossed the intersection. Visibility around Cedar Hill and Haultain isn't that great.  Caution for cyclists.  ,,No injury,Commute,Y,Y,N,Dry,View obstructed,Y,"Quiet street, no bike facilities",FB,Uphill,E,Heading straight,,,M,703,-123.34499720000001,48.43622659,2015-02-18 17:05:00,1424304300
264,Near collision with moving object or vehicle,Another cyclist,2015-02-11T17:25:00,nearmiss,s bend in trail with obstructed view and over grown contested trail,,No injury,Commute,Y,Y,N,"Loose sand, gravel, or dirt",View obstructed,N,Mixed use trail,NL,Flat,S,Turning left,1978.0,8.0,M,709,-123.39588400000001,48.48826512,2015-02-11 17:25:00,1423700700
265,Near collision with moving object or vehicle,Pedestrian,2014-09-10T14:20:00,nearmiss,pedestrians congregating on bridge with obstructed view,,No injury,Commute,Y,N,N,"Loose sand, gravel, or dirt",View obstructed,N,Mixed use trail,FB,Downhill,S,Heading straight,1978.0,8.0,M,710,-123.39554609999999,48.4892855,2014-09-10 14:20:00,1410380400
266,Near collision with moving object or vehicle,"Vehicle, side",2015-02-24T17:45:00,nearmiss,"Minivan driver did not stop at stop signal on Harbinger and Richardson. Turned right onto Richardson, and almost hit me. I was very surprised, scared and angry. The driver did not acknowledged my presence on the road at all or the fact that he ignored the stop sign.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",FB,Flat,E,Heading straight,1973.0,2.0,F,714,-123.3508873,48.41654128,2015-02-24 17:45:00,1424825100
267,Near collision with moving object or vehicle,"Vehicle, angle",2015-02-17T17:00:00,nearmiss,Heading south on Cook street just south of Bay street where two lanes merge into one. Car attempts to pass traffic in the merge lane where I was riding and nearly hit me.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,S,Heading straight,1990.0,1.0,M,719,-123.35234640000002,48.4347033,2015-02-17 17:00:00,1424217600
268,Near collision with moving object or vehicle,"Vehicle, head on",2015-01-14T13:30:00,nearmiss,This is one of the scariest intersections for pedestrians in Victoria.  They've put pilons in the road that curve around from Mckenzie S onto the highway W. This has the effect of creating a cornered acceleration lane.   Cars start to gain speed before attempting to stop for pedestrians - unsafe. ,,No injury,Exercise or recreation,,,,Dry,Don't Remember,N,Busy street bike lane,NL,Flat,E,Heading straight,,,,720,-123.40470309999999,48.45984601,2015-01-14 13:30:00,1421267400
269,Near collision with stationary object or vehicle,"Vehicle, side",2015-01-14T08:30:00,nearmiss,This type of incident has happened on 3 occasions.  There is heavy traffic as parent safe dropping off students.  Cars parking on the side of road and cars turning into student drop off area.  I have been cut off once and pushed into the cars parked on side and had doors open in in my lane.,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Flat,S,Heading straight,1965.0,5.0,M,722,-123.320632,48.46619199,2015-01-14 08:30:00,1421249400
270,Near collision with moving object or vehicle,"Vehicle, side",2015-02-05T14:30:00,nearmiss,"Car turned right in fron if me without looking, coming very  Close to hitting me",,No injury,Commute,,,,Dry,No obstructions,Y,"Quiet street, no bike facilities",FB,,,Heading straight,,,,723,-123.36365459999999,48.42044335,2015-02-05 14:30:00,1423171800
271,Near collision with moving object or vehicle,"Vehicle, angle",2014-12-09T06:10:00,nearmiss,,,No injury,Commute,Y,Y,N,Dry,,,,,,,,1967.0,8.0,M,724,-123.38657140000001,48.48761448,2014-12-09 06:10:00,1418130600
272,Near collision with moving object or vehicle,"Vehicle, side",2013-10-17T16:05:00,nearmiss,"I was biking home from school in the afternoon, it was sunny with good conditions.  I was in a bike lane proceeding straight, and a car almost pulled out of the parking lot into me.  They luckily stopped right before and I had to swerve around them ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,I don't know,Heading straight,1993.0,11.0,F,725,-123.33139299999999,48.4686889,2013-10-17 16:05:00,1382047500
273,Near collision with moving object or vehicle,"Vehicle, angle",2015-02-24T08:00:00,nearmiss,Similar to other incidents ignorant cabbie saw me coming on  musgrave and pulled out in front I swerved to pass he followed me down musgrave. Terrible intersection. Come on oak bay... Keep up with saanich and Victoria with bike infrastructure!  These 1940s intersections are begging for tragedy. ,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",FB,Flat,N,Heading straight,,,,726,-123.30830449999999,48.43772492,2015-02-24 08:00:00,1424790000
274,Near collision with moving object or vehicle,"Vehicle, side",2015-02-18T17:00:00,nearmiss,,,No injury,Social reason,,,,,,,,,,,,,,,730,-123.36022140000001,48.43546495,2015-02-18 17:00:00,1424304000
275,Near collision with moving object or vehicle,"Vehicle, side",2014-06-18T14:00:00,nearmiss,,,No injury,Personal business,,,,,,,,,,,,,,,733,-123.36663190000002,48.42847441,2014-06-18 14:00:00,1403121600
276,Near collision with moving object or vehicle,"Vehicle, angle",2014-11-10T16:40:00,nearmiss,"I was biking northbound on Vancouver St. through the intersection with Fort St.  A southbound car initiated a left turn (to go East on Fort St.).I swerved and sped up to get out of the way, the driver also swerved and slammed on the brakes.  We came within 1 foot of the car hitting me.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",NL,Flat,N,Heading straight,1986.0,12.0,M,737,-123.35972790000001,48.42399625,2014-11-10 16:40:00,1415662800
277,Near collision with moving object or vehicle,"Vehicle, side",2015-02-19T08:30:00,nearmiss,Skidded to a stop and nudged car front bumper after driver turned left across my lane,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,NL,Flat,NW,Heading straight,,,M,739,-123.3910012,48.43094898,2015-02-19 08:30:00,1424359800
278,Near collision with moving object or vehicle,"Vehicle, side",2014-06-30T12:00:00,nearmiss,"as I clearly signalled, checked my rear mirror, and began to change lanes for a left turn, a commercial van coming up from behind on Tillicum at the bridge actually swept closely by me, swinging into an oncoming lane to get past.",,No injury,Personal business,,,,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,S,Turning left,,,,740,-123.4002936,48.44647381,2014-06-30 12:00:00,1404151200
279,Near collision with moving object or vehicle,"Vehicle, side",2014-07-03T15:20:00,nearmiss,"I was riding N on Government, went thru the intersection @ Belleville. The driver turned N onto Govt from Belleville, accelerated as she passed (on my L) -- driving so close the R side of her car clipped my L leg. Luckily I was able to maintain control and not topple over. Driver didn't even notice.",,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,N,Heading straight,1960.0,12.0,F,748,-123.3687937,48.42087413,2014-07-03 15:20:00,1404422400
280,Near collision with moving object or vehicle,"Vehicle, side",2015-02-26T08:00:00,nearmiss,Driver of Uvic gardening vehicle on road ran stop sign saw me but cut me off anyway. I veered just missing him.  Bonehead driver who as UVic employee should know better never mind what a stop sign means.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",F,Flat,NE,Turning right,,,,750,-123.3136851,48.46052546,2015-02-26 08:00:00,1424962800
281,Near collision with moving object or vehicle,"Vehicle, side",2015-02-27T08:00:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,751,-123.3244514,48.44611264,2015-02-27 08:00:00,1425049200
282,Near collision with moving object or vehicle,"Vehicle, side",2015-03-02T10:35:00,nearmiss,I stopped at a 4-way stop sign and the car travelling south ran the stop sign and almost hit me. I put on my breaks quickly and avoided a collision. The car kept going and didn't stop.,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Quiet street, no bike facilities",B,Flat,SW,Heading straight,,,,756,-123.30495719999999,48.42250819,2015-03-02 10:35:00,1425317700
283,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-02T17:55:00,nearmiss,"Vehicle approached quickly from behind, forcing me to shift position to the right to avoid.",,No injury,Personal business,Y,N,N,Dry,No obstructions,Y,"Busy street, no bike facilities",FB,Flat,E,Heading straight,1982.0,8.0,M,757,-123.3493853,48.41901927,2015-03-02 17:55:00,1425344100
284,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-02T17:55:00,nearmiss,"Uphill and turning around a corner, a car passed me very closely. With the view obstructed, the driver of the vehicle passing me couldn't see the oncoming car. ",,No injury,Personal business,Y,Y,N,Dry,View obstructed,Y,"Busy street, no bike facilities",FB,Downhill,SW,Turning left,1982.0,8.0,M,758,-123.34613440000001,48.41818617,2015-03-02 17:55:00,1425344100
285,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-02T18:00:00,nearmiss,"Just passed a parked car,  heading back into the curb when the car behind me decided to speed up and blow right past me.",,No injury,Personal business,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",FB,Flat,S,Heading straight,1982.0,8.0,M,759,-123.3374226,48.41517406,2015-03-02 18:00:00,1425344400
286,Near collision with moving object or vehicle,"Vehicle, side",2015-03-04T17:55:00,nearmiss,"Turning left, two vehicles were ahead of the stop sign on Richardon. I slowed to let the first vehicle travel through the intersection, the taxi behind started to roll as I started to turn. He stopped but I was forced to stop quickly. My yelling at him brought attention of a police officer nearby",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Flat,SE,Turning left,1982.0,8.0,M,766,-123.3549106,48.41961739,2015-03-04 17:55:00,1425516900
287,Near collision with moving object or vehicle,"Vehicle, side",2015-03-05T13:15:00,nearmiss,I was almost hit by a car overtaking to get to the light before it changed. He didn't make it. Passed me very close!,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,SW,Heading straight,1955.0,11.0,M,767,-123.3777523,48.43452534,2015-03-05 13:15:00,1425586500
288,Near collision with moving object or vehicle,"Vehicle, angle",2015-03-04T17:00:00,nearmiss,Truck turning right cut into the bike lane without shoulder checking and cut me off.  I was forced to brake quickly and move hard to the right.,,No injury,Commute,Y,Y,N,Dry,No obstructions,N,Busy street bike lane,B,Downhill,I don't know,Heading straight,,,,769,-123.510232,48.44340822,2015-03-04 17:00:00,1425513600
289,Near collision with moving object or vehicle,"Vehicle, side",2015-03-05T18:20:00,nearmiss,Older ford pickup truck rolled through stop sign on Ansell Rd.  I had to brake hard and swerve into the road to avoid a collision,,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",FB,Flat,W,Heading straight,1988.0,8.0,M,773,-123.32388279999999,48.46360958,2015-03-05 18:20:00,1425604800
290,Near collision with moving object or vehicle,"Vehicle, side",2015-02-27T16:40:00,nearmiss,,,No injury,,Y,,,,,,,,,S,Heading straight,,,,774,-123.35454579999998,48.42124794,2015-02-27 16:40:00,1425080400
291,Near collision with moving object or vehicle,"Vehicle, side",2015-03-07T15:20:00,nearmiss,"A man on a motorcycle passed me too close and cut me off. I was on the section of Bay that says ""Cyclists May Use Entire Lane."" When I caught him at the next light (15 seconds later) and mentioned that he should have given me more room because of the sign, he said I was wrong.",,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Uphill,W,Heading straight,1955.0,11.0,M,775,-123.35717439999999,48.43536529,2015-03-07 15:20:00,1425766800
292,Near collision with moving object or vehicle,"Vehicle, rear end",2015-02-03T06:55:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,776,-123.32939740000002,48.43362842,2015-02-03 06:55:00,1422971700
293,Near collision with moving object or vehicle,"Vehicle, angle",2015-01-14T13:00:00,nearmiss,I was in the traffic lane preparing for a left turn at the end of colquitz river bridge.  A car crossed the double yellow to pass me on the left then upon seeing the approaching island did a panic re-entry into the lane I was occupying.,,No injury,Exercise or recreation,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Downhill,SW,Turning left,1950.0,6.0,M,779,-123.4081686,48.45867561,2015-01-14 13:00:00,1421265600
294,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-08T18:00:00,nearmiss,"GF and I riding down quiet street, no space for bikes and cars. Woman honks, then passes us very closely.",,No injury,Personal business,Y,Y,N,Dry,No obstructions,Y,"Quiet street, no bike facilities",NL,Flat,SW,Heading straight,1982.0,8.0,M,781,-123.3323371,48.41628493,2015-03-08 18:00:00,1425859200
295,Near collision with moving object or vehicle,"Vehicle, side",2015-03-13T09:10:00,nearmiss,"Truck turned out of side street, stopped only inches from me as he realized I was there.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Flat,W,Heading straight,1982.0,8.0,M,783,-123.3529902,48.4195177,2015-03-13 09:10:00,1426259400
296,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-13T09:05:00,nearmiss,"Vehicle overtaking at a pedestrian island, speeding. Blew past me with within a few inches.",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",NL,Uphill,NW,Turning right,1982.0,8.0,M,784,-123.34498640000001,48.41681899,2015-03-13 09:05:00,1426259100
297,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-13T17:15:00,nearmiss,"Trying to move from merge out of the bike lane and into traffic so you can make a left into the bike and pedestrian path specifically for that purpose is death defying. The cars are flying way past the speed limit, don't know hand signals and you have no margin for error. Signage needed!!!",,No injury,Commute,,,,,,,,,,,,,,,785,-123.4086406,48.45851908,2015-03-13 17:15:00,1426288500
298,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-06T06:30:00,nearmiss,While traveling south bound on the Pat Bay highway a truck overtook me and immediately moved over onto the side of the road which appeared that they tried to make me collide with the barrier at the off ramp at Quadra street. ,,No injury,Commute,,,,Dry,No obstructions,N,"Quiet street, no bike facilities",FB,Flat,S,Heading straight,,,,791,-123.3848763,48.48895841,2015-03-06 06:30:00,1425648600
299,Near collision with moving object or vehicle,"Vehicle, side",2015-03-10T10:30:00,nearmiss,"The road is too narrow to share the lane with cars, so I started riding in the centre of the lane for that section. The driver of black sedan 156 SRA honked from behind and beside me, swore/shouted, and swerved in front of me. Then shouted and swore at me when we were both stopped at the light. ",,No injury,Commute,Y,Y,N,Dry,No obstructions,N,"Busy street, no bike facilities",FB,Uphill,E,Heading straight,1979.0,12.0,F,796,-123.32539560000001,48.44634037,2015-03-10 10:30:00,1426005000
300,Near collision with moving object or vehicle,"Vehicle, angle",2013-06-04T16:50:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,801,-123.37163149999999,48.42809353,2013-06-04 16:50:00,1370386200
301,Near collision with moving object or vehicle,"Vehicle, angle",2014-05-13T07:00:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,802,-123.3617985,48.43115114,2014-05-13 07:00:00,1399986000
302,Near collision with moving object or vehicle,"Vehicle, angle",2013-09-16T06:40:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,803,-123.40178490000001,48.46705987,2013-09-16 06:40:00,1379335200
303,Near collision with moving object or vehicle,"Vehicle, angle",2014-06-04T17:10:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,804,-123.3998537,48.46540234,2014-06-04 17:10:00,1401923400
304,Near collision with moving object or vehicle,"Vehicle, angle",2014-08-20T17:10:00,nearmiss,,,No injury,Commute,,,,,,,,,,,,,,,805,-123.39969280000001,48.46530986,2014-08-20 17:10:00,1408576200
305,Near collision with moving object or vehicle,"Vehicle, rear end",2015-03-26T09:05:00,nearmiss,"Headed uphill, watching vehicle on side-street, looked into mirror and saw truck directly behind me, dodged out of the way.",,No injury,Commute,Y,Y,N,Dry,No obstructions,Y,"Busy street, no bike facilities",NL,Uphill,N,Heading straight,1982.0,8.0,M,809,-123.3575392,48.42107705,2015-03-26 09:05:00,1427382300
